;;min;max;nom
1;pc_MaxAssimilationRate;5;30;15.3
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
28;pc_NConcentrationPN;1.0;4;2.6
$60_1$ ;pc_StageTemperatureSum1;30;60;35
$60_2$ ;pc_StageTemperatureSum2;150;350;281
$65_1$;pc_SpecificLeafArea1;0.0015;0.0025;0.002
$65_2$;pc_SpecificLeafArea2;0.0015;0.0025;0.002
$65_3$;pc_SpecificLeafArea3;0.0015;0.0025;0.002
