;;min;max;nom
1;pc_MaxAssimilationRate;30;70;50
12;pc_MinimumAvailableN;0.0004;0.0009;0.00075
14;pc_CanopyReflectionCoefficient;0.05;0.1;0.08
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
26;pc_MinimumNConcentration;0.004;0.006;0.005
27;pc_NConcentrationB0;2;5;3.5
28;pc_NConcentrationPN;1;2;1.35
$60_1$ ;pc_StageTemperatureSum1;10;200;130
$60_2$ ;pc_StageTemperatureSum2;150;350;284
$60_3$ ;pc_StageTemperatureSum3;50;250;160
$60_4$ ;pc_StageTemperatureSum4;50;250;160
$60_5$ ;pc_StageTemperatureSum5;700;1100;900
$61_1$;pc_StageKcFactor1;0.2;1;0.6
$61_4$;pc_StageKcFactor4;0.7;1.5;1.1
$63_2$;pc_VernalisationRequirement2;0.001;100;35
$64_2$;pc_DaylengthRequirement2;16;24;20
$64_3$;pc_DaylengthRequirement3;16;24;20
$64_4$;pc_DaylengthRequirement4;16;24;20
$65_1$;pc_SpecificLeafArea1;0.0015;0.0025;0.002
