;;min;max;nom
1;pc_MaxAssimilationRate;30;70;48
8;pc_RootFormFactor;1;6;3
12;pc_MinimumAvailableN;0.0004;0.0009;0.00075
14;pc_CanopyReflectionCoefficient;0.05;0.1;0.08
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
26;pc_MinimumNConcentration;0.004;0.006;0.005
27;pc_NConcentrationB0;0;3;2
28;pc_NConcentrationPN;1.00E+000;3;1.6
$60_1$ ;pc_StageTemperatureSum1;200;400;300
$60_2$ ;pc_StageTemperatureSum2;500;750;650
$60_3$ ;pc_StageTemperatureSum3;100;300;200
$60_4$ ;pc_StageTemperatureSum4;150;350;250
$60_5$ ;pc_StageTemperatureSum5;200;300;300
$60_6$ ;pc_StageTemperatureSum6;10;80;25
$61_1$;pc_StageKcFactor1;0.01;0.4;0.04
$61_2$;pc_StageKcFactor2;0.3;1.1;0.7
$63_2$;pc_VernalisationRequirement2;0.001;100;50
$64_2$;pc_DaylengthRequirement2;16;24;20
$64_3$;pc_DaylengthRequirement3;16;24;20
$65_1$;pc_SpecificLeafArea1;0.0015;0.0025;0.002
$65_2$;pc_SpecificLeafArea2;0.0013;0.0023;0.0018
$65_3$;pc_SpecificLeafArea3;0.0012;0.0022;0.0017
