;;min;max;nom
1;pc_MaxAssimilationRate;20;60;39
8;pc_RootFormFactor;1;6;3
12;pc_MinimumAvailableN;0.0004;0.0009;0.00075
14;pc_CanopyReflectionCoefficient;0.05;0.1;0.08
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
26;pc_MinimumNConcentration;0.004;0.006;0.005
27;pc_NConcentrationB0;1.00E+000;3;1.963
28;pc_NConcentrationPN;0.5;3;2
$60_1$ ;pc_StageTemperatureSum1;50;200;100
$60_2$ ;pc_StageTemperatureSum2;200;400;300
$60_3$ ;pc_StageTemperatureSum3;300;500;420
$60_4$ ;pc_StageTemperatureSum4;100;300;200
$61_1$;pc_StageKcFactor1;0.1;0.8;0.42
$61_2$;pc_StageKcFactor2;4.00E-001;1.1;0.7
$64_2$;pc_DaylengthRequirement2;16;24;20
$64_3$;pc_DaylengthRequirement3;16;24;20
$65_1$;pc_SpecificLeafArea1;0.0015;0.0025;0.002
