;;min;max;nom
1;pc_MaxAssimilationRate;5;30;15.3
12;pc_MinimumAvailableN;0.0004;0.001;0.00075
14;pc_CanopyReflectionCoefficient;0.05;0.1;0.08
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
28;pc_NConcentrationPN;1.00E-001;4;2.6
$60_1$ ;pc_StageTemperatureSum1;5;60;10
$60_2$ ;pc_StageTemperatureSum2;150;350;281
$60_3$ ;pc_StageTemperatureSum3;250;450;340
$60_4$ ;pc_StageTemperatureSum4;300;500;400
$65_1$;pc_SpecificLeafArea1;0.0015;0.0025;0.002
$65_2$;pc_SpecificLeafArea2;0.0015;0.0025;0.002
$65_3$;pc_SpecificLeafArea3;0.0015;0.0025;0.002
