Datum     	Crop	TraDef	Tra	NDef	HeatRed	FrostRed	OxRed	Stage	TempSum	VernF	DaylF	IncRoot	IncLeaf	IncShoot	IncFruit	RelDev	LT50	AbBiom	Root	Leaf	Shoot	Fruit	Struct	Sugar	Yield	SumYield	GroPhot	NetPhot	MaintR	GrowthR	StomRes	Height	LAI	RootDep	EffRootDep	TotBiomN	AbBiomN	SumNUp	ActNup	PotNup	NFixed	Target	CritN	AbBiomNc	YieldNc	Protein	NPP	NPPRoot	NPPLeaf	NPPShoot	NPPFruit	NPPStruct	NPPSugar	GPP	Ra	RaRoot	RaLeaf	RaShoot	RaFruit	RaStruct	RaSugar	Mois0	Mois1	Mois2	Mois3	Mois4	Mois5	Mois6	Mois7	Mois8	Mois9	Mois10	Mois11	Mois12	Mois13	Mois14	Mois15	Mois16	Mois17	Mois18	Mois19	Precip	Irrig	Infilt	Surface	RunOff	SnowD	FrostD	ThawD	PASW-0	PASW-1	PASW-2	PASW-3	PASW-4	PASW-5	PASW-6	PASW-7	PASW-8	PASW-9	PASW-10	PASW-11	PASW-12	PASW-13	PASW-14	PASW-15	PASW-16	PASW-17	PASW-18	PASW-19	SurfTemp	STemp0	STemp1	STemp2	STemp3	STemp4	act_Ev	act_ET	ET0	Kc	atmCO2	Groundw	Recharge	NLeach	NO3-0	NO3-1	NO3-2	NO3-3	NO3-4	NO3-5	NO3-6	NO3-7	NO3-8	NO3-9	NO3-10	NO3-11	NO3-12	NO3-13	NO3-14	NO3-15	NO3-16	NO3-17	NO3-18	NO3-19	Carb	NH4-0	NH4-1	NH4-2	NH4-3	NH4-4	NH4-5	NH4-6	NH4-7	NH4-8	NH4-9	NH4-10	NH4-11	NH4-12	NH4-13	NH4-14	NH4-15	NH4-16	NH4-17	NH4-18	NH4-19	NO2-0	NO2-1	NO2-2	NO2-3	SOC-0	SOC-1	SOC-2	SOC-3	SOC-4	SOC-5	SOC-0-30	SOC-0-200	AOMf-0	AOMs-0	SMBf-0	SMBs-0	SOMf-0	SOMs-0	CBal-0	Nmin-0	Nmin-1	Nmin-2	NetNmin	Denit	N2O	SoilpH	NEP	NEE	Rh	tmin	tavg	tmax	wind	globrad	relhumid	sunhours
TTMMYYY	[ ]	[0;1]	[mm]	[0;1]	[0;1]	[0;1]	[0;1]	[ ]	[°Cd]	[0;1]	[0;1]	[kg/ha]	[kg/ha]	[kg/ha]	[kg/ha]	[0;1]	[°C]	[kg/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgCH2O/ha]	[kgCH2O/ha]	[kgCH2O/ha]	[kgCH2O/ha]	[s/m]	[m]	[m2/m2]	[layer]	[m]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/kg]	[kgN/kg]	[kgN/kg]	[kgN/kg]	[kg/kg]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[kg C ha-1]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[mm]	[mm]	[mm]	[mm]	[mm]	[mm]	[m]	[m]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[°C]	[°C]	[°C]	[°C]	[°C]	[°C]	[mm]	[mm]	[mm]	[ ]	[ppm]	[m]	[mm]	[kgN/ha]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgN/m3]	[kgC/kg]	[kgC/kg]	[kgC/kg]	[kgC/kg]	[kgC/kg]	[kgC/kg]	[gC m-2]	[gC m-2]	[kgC/m3]	[kgC/m3]	[kgC/m3]	[kgC/m3]	[kgC/m3]	[kgC/m3]	[kgC/m3]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[ ]	[kgC/ha]	[kgC/ha]	[kgC/ha]	[°C]	[°C]	[°C]	[m/s]	globrad	[m3/m3]	[h]
01/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.227	0.187	0.187	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	3.80	0.0	3.9	0.0	0.0	5.0	0.0	0.0	0.137	0.098	0.098	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	3.6	6.6	8.5	9.3	9.5	9.6	0.0	0.0	0.3	0.8	403.7	19.28	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0009	0.0008	0.0008	0.0008	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3579.4339	5003.1273	0.0000	0.0000	0.0011	0.0672	5.6499	5.5190	-0.0003	0.027051	0.034604	0.037728	0.10681	0.00000	0.00364	6.9	-1.35446	1.35446	1.35446	0.0000	0.5000	1.7000	0.4000	0.7736	100.0000	0.0000
02/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.244	0.234	0.187	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	6.50	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.154	0.144	0.098	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.5	3.7	6.6	8.1	8.7	9.0	0.2	0.2	0.3	0.8	403.8	19.29	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0007	0.0007	0.0007	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3579.3384	5003.0231	0.0000	0.0000	0.0011	0.0673	5.6496	5.5190	-0.0002	0.015169	0.027213	0.033003	0.08217	0.00000	0.00240	6.9	-1.04198	1.04198	1.04198	-1.3000	2.3000	5.5000	1.2000	1.3705	94.2000	0.0000
03/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.240	0.240	0.194	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	1.30	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.151	0.151	0.105	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	1.3	3.0	5.5	7.0	7.8	8.3	0.3	0.3	0.4	0.8	403.8	19.31	0.000	0.000	0.000	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0007	0.0006	0.0006	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3579.2579	5002.9349	0.0000	0.0000	0.0011	0.0673	5.6494	5.5190	-0.0002	0.012147	0.022406	0.028934	0.06960	0.00000	0.00175	6.9	-0.88245	0.88245	0.88245	0.0000	1.8000	3.2000	2.2000	0.8849	88.6000	0.0000
04/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.237	0.239	0.198	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.20	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.148	0.150	0.109	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	1.5	2.7	4.7	6.2	7.0	7.7	0.3	0.3	0.4	0.8	403.9	19.32	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0006	0.0006	0.0005	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3579.1869	5002.8569	0.0000	0.0000	0.0011	0.0674	5.6492	5.5190	-0.0001	0.011028	0.019427	0.025513	0.06148	0.00000	0.00134	6.9	-0.77948	0.77948	0.77948	-1.6000	2.6000	4.8000	1.5000	0.8665	90.8000	0.0000
05/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.242	0.242	0.208	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	1.70	0.0	1.8	0.0	0.0	3.8	0.0	0.0	0.153	0.152	0.119	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.2	1.8	3.9	5.4	6.3	7.0	0.0	0.0	0.2	0.8	403.9	19.34	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0006	0.0005	0.0005	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3579.1290	5002.7927	0.0000	0.0000	0.0011	0.0675	5.6491	5.5190	-0.0001	0.007309	0.016092	0.022287	0.05063	0.00000	0.00092	6.9	-0.64198	0.64198	0.64198	-2.6000	-0.2000	1.8000	0.5000	1.2082	99.2000	0.0000
06/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.245	0.246	0.245	0.216	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	8.90	0.0	8.9	0.0	0.0	0.0	0.0	0.0	0.155	0.156	0.156	0.136	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	-0.2	1.2	3.2	4.7	5.7	6.4	0.2	0.2	0.3	0.8	404.0	19.36	0.000	0.000	0.000	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0006	0.0005	0.0004	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3579.0815	5002.7397	0.0000	0.0000	0.0011	0.0675	5.6490	5.5190	-0.0001	0.004840	0.013215	0.019356	0.04183	0.00000	0.00067	6.9	-0.53035	0.53035	0.53035	-0.6000	3.8000	7.1000	1.4000	2.2698	92.2000	0.0000
07/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.239	0.241	0.242	0.222	0.178	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.150	0.152	0.153	0.142	0.098	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	2.3	2.2	3.3	4.4	5.2	6.0	0.1	0.1	0.2	0.8	404.0	19.37	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0006	0.0004	0.0004	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3579.0301	5002.6830	0.0000	0.0000	0.0011	0.0675	5.6488	5.5190	-0.0001	0.009130	0.013466	0.017998	0.04468	0.00000	0.00061	6.9	-0.56648	0.56648	0.56648	0.0000	2.5000	6.8000	0.8000	2.2176	97.9000	0.0000
08/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.238	0.239	0.240	0.222	0.184	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.150	0.151	0.142	0.104	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	3.1	2.9	3.5	4.3	5.0	5.7	0.0	0.0	0.0	0.8	404.1	19.39	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0005	0.0004	0.0003	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3578.9740	5002.6220	0.0000	0.0000	0.0011	0.0676	5.6486	5.5190	-0.0002	0.012073	0.014480	0.017672	0.04815	0.00000	0.00069	6.9	-0.61042	0.61042	0.61042	-0.9000	2.3000	7.7000	0.8000	5.4900	92.6000	0.0000
09/01/2005		1.00	0.00	1.00	1.00	1.00	1.00	0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000	0.00	0.000	0.000	0.00	0.00	0.00	0	0.0	0.0	0.0	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.239	0.240	0.240	0.221	0.188	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.172	0.70	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.149	0.150	0.150	0.141	0.108	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	3.7	3.5	3.8	4.4	5.0	5.5	0.2	0.2	0.2	0.8	404.1	19.40	0.000	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0007	0.0005	0.0004	0.0003	0.0080	0.0080	0.0080	0.0015	0.0005	0.0005	3578.9130	5002.5560	0.0000	0.0000	0.0011	0.0677	5.6484	5.5190	-0.0002	0.014475	0.015725	0.017941	0.05202	0.00000	0.00076	6.9	-0.65944	0.65944	0.65944	0.6000	3.9000	7.4000	0.7000	2.0149	97.2000	0.0000
