Datum     	Crop	Stage	Height	Root	Root10	Leaf	Shoot	Fruit	AbBiom	AbGBiom	Yield	EarNo	GrainNo	LAI	AbBiomNc	YieldNc	AbBiomN	YieldN	TotNup	NGrain	Protein	BedGrad	M0-10	M10-20	M20-30	M30-40	M40-50	M50-60	M60-70	M70-80	M80-90	M0-30	M30-60	M60-90	M0-60	M0-90	PAW0-200	PAW0-130	PAW0-150	N0-30	N30-60	N60-90	N90-120	N0-60	N0-90	N0-200	N0-130	N0-150	NH430	NH460	NH490	Co0-10	Co0-30	T0-10	T20-30	T50-60	CO2	NH3	N2O	N2	Ngas	NFert	Irrig
TTMMYYYY	[ ]	[ ]	[m]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[kgDM/ha]	[ ]	[ ]	[m2/m2]	[kgN/kgDM	[kgN/kgDM]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[-]	[kg/kgDM]	[0;1]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[m3/m3]	[mm]	[mm]	[mm]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgN/ha]	[kgC/ha]	[kgC/ha]	[°C]	[°C]	[°C]	[kgC/ha]	[kgN/ha]	[-]	[-]	[-]	[kgN/ha]	[mm]
01/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.227	0.187	0.187	0.172	0.172	0.172	0.172	0.172	0.172	0.20	0.17	0.172	0.186	0.182	190.3	125.6	144.1	3.78	3.61	3.60	3.60	7.39	10.99	24.19	15.79	18.19	0.37	0.30	0.30	7.40	22.20	6.6	9.3	9.7	1.35	0.000	0	0	0	0.0	0.0
02/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.244	0.234	0.187	0.172	0.172	0.172	0.172	0.172	0.172	0.22	0.17	0.172	0.197	0.189	196.6	132.0	150.4	3.94	3.61	3.60	3.60	7.55	11.15	24.35	15.95	18.35	0.42	0.29	0.30	7.40	22.20	3.7	8.1	9.3	1.04	0.000	0	0	0	0.0	0.0
03/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.240	0.240	0.194	0.172	0.172	0.172	0.172	0.172	0.172	0.22	0.17	0.172	0.199	0.190	197.6	133.0	151.4	4.08	3.62	3.60	3.60	7.70	11.30	24.50	16.10	18.50	0.46	0.29	0.30	7.40	22.20	3.0	7.0	8.7	0.88	0.000	0	0	0	0.0	0.0
04/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.237	0.239	0.198	0.172	0.172	0.172	0.172	0.172	0.172	0.22	0.17	0.172	0.199	0.190	197.5	132.9	151.4	4.22	3.63	3.60	3.60	7.85	11.45	24.65	16.25	18.65	0.49	0.29	0.30	7.40	22.20	2.7	6.2	8.2	0.78	0.000	0	0	0	0.0	0.0
05/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.242	0.242	0.208	0.172	0.172	0.172	0.172	0.172	0.172	0.23	0.17	0.172	0.202	0.192	199.3	134.7	153.2	4.35	3.63	3.60	3.60	7.98	11.58	24.78	16.38	18.78	0.52	0.29	0.30	7.40	22.20	1.8	5.4	7.6	0.64	0.000	0	0	0	0.0	0.0
06/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.245	0.246	0.245	0.216	0.172	0.172	0.172	0.172	0.172	0.25	0.19	0.172	0.216	0.201	208.1	143.4	161.9	4.33	3.77	3.60	3.60	8.11	11.71	24.91	16.51	18.91	0.55	0.29	0.30	7.40	22.20	1.2	4.7	7.1	0.53	0.000	0	0	0	0.0	0.0
07/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.239	0.241	0.242	0.222	0.178	0.172	0.172	0.172	0.172	0.24	0.19	0.172	0.216	0.201	207.9	143.3	161.8	4.42	3.82	3.60	3.60	8.23	11.83	25.03	16.63	19.03	0.58	0.29	0.30	7.40	22.20	2.2	4.4	6.6	0.57	0.000	0	0	0	0.0	0.0
08/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.238	0.239	0.240	0.222	0.184	0.172	0.172	0.172	0.172	0.24	0.19	0.172	0.216	0.201	207.9	143.3	161.8	4.52	3.84	3.60	3.60	8.36	11.96	25.16	16.76	19.16	0.60	0.29	0.30	7.40	22.20	2.9	4.3	6.3	0.61	0.000	0	0	0	0.0	0.0
09/01/2005		0	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.00	0.000	0.0	0.00	0.0	0.0	0	0.00	0.000	0.239	0.240	0.240	0.221	0.188	0.172	0.172	0.172	0.172	0.24	0.19	0.172	0.217	0.202	208.4	143.8	162.3	4.64	3.86	3.60	3.60	8.50	12.10	25.30	16.90	19.30	0.63	0.29	0.30	7.40	22.20	3.5	4.4	6.1	0.66	0.000	0	0	0	0.0	0.0
