;;min;max;nom
1;pc_MaxAssimilationRate;36;54;45
14;pc_CanopyReflectionCoefficient;0.064;0.096;0.08
21;pc_MaintenanceRespirationParameter1;0.064;0.096;0.08
22;pc_MaintenanceRespirationParameter2;35.2;52.8;44
23;pc_GrowthRespirationParameter1;0.08;0.12;0.1
24;pc_GrowthRespirationParameter2;30.4;45.6;38
$60_1$ ;pc_StageTemperatureSum1;32;48;40
$60_2$ ;pc_StageTemperatureSum2;227.2;340.8;284
$60_3$ ;pc_StageTemperatureSum3;160;240;200
$60_4$ ;pc_StageTemperatureSum4;320;480;400
$60_5$ ;pc_StageTemperatureSum5;280;420;350
$64_2$;pc_DaylengthRequirement2;16;24;20
$64_3$;pc_DaylengthRequirement3;16;24;20
$64_4$;pc_DaylengthRequirement4;16;24;20
$65_1$;pc_SpecificLeafArea1;0.0016;0.0024;0.002
$65_2$;pc_SpecificLeafArea2;0.0016;0.0024;0.002
