;;min;max;nom
1;pc_MaxAssimilationRate;76.8;115.2;96
14;pc_CanopyReflectionCoefficient;0.064;0.096;0.08
21;pc_MaintenanceRespirationParameter1;0.064;0.096;0.08
22;pc_MaintenanceRespirationParameter2;35.2;52.8;44
23;pc_GrowthRespirationParameter1;0.08;0.12;0.1
24;pc_GrowthRespirationParameter2;30.4;45.6;38
26;pc_MinimumNConcentration;0.0032;0.0048;0.004
28;pc_NConcentrationPN;0.8;1.2;1
$60_1$ ;pc_StageTemperatureSum1;54.4;81.6;68
$60_2$ ;pc_StageTemperatureSum2;227.2;340.8;284
$60_3$ ;pc_StageTemperatureSum3;152;228;190
$60_4$ ;pc_StageTemperatureSum4;200;300;250
$60_5$ ;pc_StageTemperatureSum5;160;240;200
$60_6$ ;pc_StageTemperatureSum6;320;480;400
$65_1$;pc_SpecificLeafArea1;0.0016;0.0024;0.002
$65_2$;pc_SpecificLeafArea2;0.0016;0.0024;0.002
$65_3$;pc_SpecificLeafArea3;0.0016;0.0024;0.002
$65_4$;pc_SpecificLeafArea4;0.0016;0.0024;0.002
