;;min;max;0.3
1;pc_MaxAssimilationRate;70;130;100
12;pc_MinimumAvailableN;0.000525;0.000975;0.00075
14;pc_CanopyReflectionCoefficient;0.056;0.104;0.08
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
26;pc_MinimumNConcentration;0.0028;0.0052;0.004
27;pc_NConcentrationB0;0.966;1.794;1.38
28;pc_NConcentrationPN;0.777;1.443;1.11
$60_1$ ;pc_StageTemperatureSum1;70;130;100
$60_2$ ;pc_StageTemperatureSum2;210;390;300
$60_3$ ;pc_StageTemperatureSum3;395.5;734.5;565
$60_4$ ;pc_StageTemperatureSum4;425.6;790.4;608
$60_5$ ;pc_StageTemperatureSum5;1120;2080;1600
$61_1$;pc_StageKcFactor1;0.28;0.52;0.4
$61_2$;pc_StageKcFactor2;0.56;1.04;0.8
$61_3$;pc_StageKcFactor3;0.7;1.3;1
$61_4$;pc_StageKcFactor4;0.945;1.755;1.35
$65_1$;pc_SpecificLeafArea1;0.00063;0.00117;0.0009
$65_2$;pc_SpecificLeafArea2;0.0007;0.0013;0.001
$65_3$;pc_SpecificLeafArea3;0.0007;0.0013;0.001
$65_4$;pc_SpecificLeafArea4;0.00063;0.00117;0.0009
