;;min;max;0.3
1;pc_MaxAssimilationRate;35;65;50
12;pc_MinimumAvailableN;0.000525;0.000975;0.00075
14;pc_CanopyReflectionCoefficient;0.056;0.104;0.08
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
26;pc_MinimumNConcentration;0.0035;0.0065;0.005
27;pc_NConcentrationB0;2.45;4.55;3.5
28;pc_NConcentrationPN;0.945;1.755;1.35
$60_1$ ;pc_StageTemperatureSum1;91;169;130
$60_2$ ;pc_StageTemperatureSum2;198.8;369.2;284
$60_3$ ;pc_StageTemperatureSum3;112;208;160
$60_4$ ;pc_StageTemperatureSum4;112;208;160
$60_5$ ;pc_StageTemperatureSum5;630;1170;900
$61_1$;pc_StageKcFactor1;0.42;0.78;0.6
$61_2$;pc_StageKcFactor2;0.77;1.43;1.1
$61_3$;pc_StageKcFactor3;0.91;1.69;1.3
$61_4$;pc_StageKcFactor4;0.77;1.43;1.1
$63_2$;pc_VernalisationRequirement2;24.5;45.5;35
$64_2$;pc_DaylengthRequirement2;14;26;20
$64_3$;pc_DaylengthRequirement3;14;26;20
$64_4$;pc_DaylengthRequirement4;14;26;20
$65_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002
$65_2$;pc_SpecificLeafArea2;0.0014;0.0026;0.002
$65_3$;pc_SpecificLeafArea3;0.0014;0.0026;0.002
$65_4$;pc_SpecificLeafArea4;0.0014;0.0026;0.002
