;;min;max;0.2
1;pc_MaxAssimilationRate;76.8;115.2;96
2;pc_MaxCropDiameter;0.02;0.03;0.025
3;pc_PlantDensity;8;12;10
4;pc_RootPenetrationRate;0.00112;0.00168;0.0014
5;pc_RootGrowthLag;-24;-36;-30
6;pc_InitialRootingDepth;0.08;0.12;0.1
7;pc_CropSpecificMaxRootingDepth;1.12;1.68;1.4
8;pc_RootFormFactor;2.4;3.6;3
9;pc_MinimumNConcentrationRoot;0.004;0.006;0.005
10;pc_NConcentrationRoot;0.016;0.024;0.02
11;pc_MaxNUptakeParam;5.92;8.88;7.4
12;pc_MinimumAvailableN;0.0006;0.0009;0.00075
13;pc_DefaultRadiationUseEfficiency;0.4;0.6;0.5
14;pc_CanopyReflectionCoefficient;0.064;0.096;0.08
15;pc_SaturationBeta;2;3;2.5
16;pc_StomataConductanceAlpha;32;48;40
17;pc_StageAtMaxHeight;3.2;4.8;4
18;pc_CropHeightP1;7.2;10.8;9
19;pc_CropHeightP2;0.28;0.42;0.35
20;pc_LuxuryNCoeff;0.8;1.2;1
21;pc_MaintenanceRespirationParameter1;0.064;0.096;0.08
22;pc_MaintenanceRespirationParameter2;35.2;52.8;44
23;pc_GrowthRespirationParameter1;0.08;0.12;0.1
24;pc_GrowthRespirationParameter2;30.4;45.6;38
25;pc_ResidueNRatio;0.4;0.6;0.5
26;pc_MinimumNConcentration;0.0032;0.0048;0.004
27;pc_NConcentrationB0;4;6;5
28;pc_NConcentrationPN;0.8;1.2;1
29;po_SpecAnaerobDenitrification;0.08;0.12;0.1
30;po_ImmobilisationRateCoeffNO3;0.4;0.6;0.5
31;po_ImmobilisationRateCoeffNH4;0.4;0.6;0.5
32;pc_MaxCropNDemand;4.8;7.2;6
33;po_NitrificationRateCoeffStandard;0.08;0.12;0.1
34;po_TransportRateCoeff;0.08;0.12;0.1
35;po_CN_Ratio_SMB;5.36;8.04;6.7
36;vo_AOM_DryMatterContent;0.4;0.6;0.5
37;vo_AOM_NH4Content;0.4;0.6;0.5
38;vo_AOM_NO3Content;0.4;0.6;0.5
39;vo_AOM_CarbamidContent;0.4;0.6;0.5
40;vo_PartAOM_to_AOM_Slow;0.4;0.6;0.5
41;vo_PartAOM_to_AOM_Fast;0.4;0.6;0.5
42;vo_CN_Ratio_AOM_Slow;80;120;100
43;vo_CN_Ratio_AOM_Fast;20;30;25
44;po_SOM_SlowDecCoeffStandard;0.0000344;0.0000516;4.30E-05
45;po_SOM_FastDecCoeffStandard;0.000112;0.000168;1.40E-04
46;po_SMB_SlowMaintRateStandard;0.0008;0.0012;0.001
47;po_SMB_FastMaintRateStandard;0.008;0.012;0.01
48;po_SMB_SlowDeathRateStandard;0.0008;0.0012;0.001
49;po_SMB_FastDeathRateStandard;0.008;0.012;0.01
50;po_SMB_UtilizationEfficiency;0.48;0.72;0.6
51;po_SOM_SlowUtilizationEfficiency;0.32;0.48;0.4
52;po_SOM_FastUtilizationEfficiency;0.4;0.6;0.5
53;po_AOM_SlowUtilizationEfficiency;0.32;0.48;0.4
54;po_AOM_FastUtilizationEfficiency;0.32;0.48;0.4
55;po_AOM_FastMaxC_to_N;800;1200;1000
56;po_HydrolysisKM;0.002672;0.004008;0.00334
57;po_HydrolysisP1;3.4072E-12;5.1108E-12;4.26E-12
58;po_HydrolysisP2;1.1264E-12;1.6896E-12;1.41E-12
59;pq_DiffusionCoefficientStandard;0.0001712;0.0002568;0.000214
$60_1$ ;pc_StageTemperatureSum1;54.4;81.6;68
$60_2$ ;pc_StageTemperatureSum2;227.2;340.8;284
$60_3$ ;pc_StageTemperatureSum3;152;228;190
$60_4$ ;pc_StageTemperatureSum4;200;300;250
$60_5$ ;pc_StageTemperatureSum5;160;240;200
$60_6$ ;pc_StageTemperatureSum6;320;480;400
$60_7$;pc_StageTemperatureSum7;20;30;25
