;;min;max;0.2
1;pc_MaxAssimilationRate;80;120;100
2;pc_MaxCropDiameter;0;0;0
3;pc_PlantDensity;6.4;9.6;8
4;pc_RootPenetrationRate;0.00088;0.00132;0.0011
5;pc_RootGrowthLag;-48;-72;-60
6;pc_InitialRootingDepth;0.048;0.072;0.06
7;pc_CropSpecificMaxRootingDepth;1.28;1.92;1.6
8;pc_RootFormFactor;1.6;2.4;2
9;pc_MinimumNConcentrationRoot;0.004;0.006;0.005
10;pc_NConcentrationRoot;0.016;0.024;0.02
11;pc_MaxNUptakeParam;4.516;6.774;5.645
12;pc_MinimumAvailableN;0.0006;0.0009;0.00075
13;pc_DefaultRadiationUseEfficiency;0.4;0.6;0.5
14;pc_CanopyReflectionCoefficient;0.064;0.096;0.08
15;pc_SaturationBeta;2;3;2.5
16;pc_StomataConductanceAlpha;32;48;40
17;pc_StageAtMaxHeight;2.4;3.6;3
18;pc_CropHeightP1;7.2;10.8;9
19;pc_CropHeightP2;0.28;0.42;0.35
20;pc_LuxuryNCoeff;1.32;1.98;1.65
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
25;pc_ResidueNRatio;1.6;2.4;2
26;pc_MinimumNConcentration;0.0032;0.0048;0.004
27;pc_NConcentrationB0;1.104;1.656;1.38
28;pc_NConcentrationPN;0.888;1.332;1.11
29;po_SpecAnaerobDenitrification;0.08;0.12;0.1
30;po_ImmobilisationRateCoeffNO3;0.4;0.6;0.5
31;po_ImmobilisationRateCoeffNH4;0.4;0.6;0.5
32;pc_MaxCropNDemand;4.8;7.2;6
$60_1$ ;pc_StageTemperatureSum1;80;120;100
$60_2$ ;pc_StageTemperatureSum2;240;360;300
$60_3$ ;pc_StageTemperatureSum3;452;678;565
$60_4$ ;pc_StageTemperatureSum4;486.4;729.6;608
$60_5$ ;pc_StageTemperatureSum5;1280;1920;1600
$60_6$ ;pc_StageTemperatureSum6;20;30;25
$61_1$;pc_StageKcFactor1;0.32;0.48;0.4
$61_2$;pc_StageKcFactor2;0.64;0.96;0.8
$61_3$;pc_StageKcFactor3;0.8;1.2;1
$61_4$;pc_StageKcFactor4;1.08;1.62;1.35
$61_5$;pc_StageKcFactor5;0.68;1.02;0.85
$61_6$;pc_StageKcFactor6;0.32;0.48;0.4
$62_1$;pc_DroughtStressThreshold1;0.8;1.2;1
$62_2$;pc_DroughtStressThreshold2;0.56;0.84;0.7
$62_3$;pc_DroughtStressThreshold3;0.64;0.96;0.8
$62_4$;pc_DroughtStressThreshold4;0.64;0.96;0.8
$62_5$;pc_DroughtStressThreshold5;0.64;0.96;0.8
$62_6$;pc_DroughtStressThreshold6;0.56;0.84;0.7
$65_1$;pc_SpecificLeafArea1;0.00072;0.00108;0.0009
$65_2$;pc_SpecificLeafArea2;0.0008;0.0012;0.001
$65_3$;pc_SpecificLeafArea3;0.0008;0.0012;0.001
$65_4$;pc_SpecificLeafArea4;0.00072;0.00108;0.0009
$65_5$;pc_SpecificLeafArea5;0.00072;0.00108;0.0009
$65_6$;pc_SpecificLeafArea6;0.00072;0.00108;0.0009
$66_1$ ;pc_StageMaxRootNConcentration1;0.016;0.024;0.02
$66_2$ ;pc_StageMaxRootNConcentration2;0.012;0.018;0.015
$66_3$ ;pc_StageMaxRootNConcentration3;0.0096;0.0144;0.012
$66_4$ ;pc_StageMaxRootNConcentration4;0.008;0.012;0.01
$66_5$ ;pc_StageMaxRootNConcentration5;0.0072;0.0108;0.009
$66_6$ ;pc_StageMaxRootNConcentration6;0.0072;0.0108;0.009
$67_1$;pc_CriticalOxygenContent1;0.024;0.036;0.03
$67_2$;pc_CriticalOxygenContent2;0.024;0.036;0.03
$67_3$;pc_CriticalOxygenContent3;0.024;0.036;0.03
$67_4$;pc_CriticalOxygenContent4;0.024;0.036;0.03
$67_5$;pc_CriticalOxygenContent5;0.024;0.036;0.03
$67_6$;pc_CriticalOxygenContent6;0.024;0.036;0.03
