No;Parametername;min;max;nominal;table;0.3
1;pc_MaxAssimilationRate;36.4;67.6;52;crop;
2;pc_MinimumTemperatureForAssimilation;2.8;5.2;4;crop;
11;pc_MaxCropHeight;0.581;1.079;0.83;crop;
13;pc_CropHeightP1;4.2;7.8;6;crop;
14;pc_CropHeightP2;0.35;0.65;0.5;crop;
39;pc_LT50cultivar;-16.8;-31.2;-24;crop;
$44_1-2$;pc_AssimilatePartitioningDevStage1Organ2;0.35;0.65;0.5;crop2ods_dependent_param;
$44_2-2$;pc_AssimilatePartitioningDevStage2Organ2;0.14;0.26;0.2;crop2ods_dependent_param;
$44_2-3$;pc_AssimilatePartitioningDevStage2Organ3;0.42;0.78;0.6;crop2ods_dependent_param;
$45_1$;pc_StageTemperatureSum1;103.6;192.4;148;dev_stage;
$45_2$;pc_StageTemperatureSum2;198.8;369.2;284;dev_stage;
$45_3$;pc_StageTemperatureSum3;266;494;380;dev_stage;
$45_4$;pc_StageTemperatureSum4;126;234;180;dev_stage;
$45_5$;pc_StageTemperatureSum5;294;546;420;dev_stage;
$46_2$;pc_BaseTemperature2;0.7;1.3;1;dev_stage;
$46_5$;pc_BaseTemperature5;6.3;11.7;9;dev_stage;
$48_2$;pc_VernalisationRequirement2;35;65;50;dev_stage;
$49_3$;pc_DaylengthRequirement3;14;26;20;dev_stage;
$49_4$;pc_DaylengthRequirement4;14;26;20;dev_stage;
$52_1$;pc_StageKcFactor1;0.28;0.52;0.4;dev_stage;
$52_2$;pc_StageKcFactor2;0.49;0.91;0.7;dev_stage;
$52_3$;pc_StageKcFactor3;0.77;1.43;1.1;dev_stage;
$52_4$;pc_StageKcFactor4;0.77;1.43;1.1;dev_stage;
$52_5$;pc_StageKcFactor5;0.56;1.04;0.8;dev_stage;
$54_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002;dev_stage;
$54_2$;pc_SpecificLeafArea2;0.00126;0.00234;0.0018;dev_stage;
61;pc_ReferenceLeafAreaIndex;1.008;1.872;1.44;user_parameter;
66;pc_StomataConductanceAlpha;28;52;40;user_parameter;
67;pc_ReferenceAlbedo;0.161;0.299;0.23;user_parameter;
