No;Parametername;min;max;nominal;table;0.3
1;pc_MaxAssimilationRate;36.4;67.6;52;crop;
2;pc_MinimumTemperatureForAssimilation;2.8;5.2;4;crop;
5;pc_NConcentrationPN;1.12;2.08;1.6;crop;
7;pc_NConcentrationAbovegroundBiomass;0.042;0.078;0.06;crop;
10;pc_LuxuryNCoeff;0.91;1.69;1.3;crop;
29;pc_InitialRootingDepth;0.07;0.13;0.1;crop;
30;pc_RootPenetrationRate;0.00077;0.00143;0.0011;crop;
39;pc_LT50cultivar;-16.8;-31.2;-24;crop;
$44_1-2$;pc_AssimilatePartitioningDevStage1Organ2;0.35;0.65;0.5;crop2ods_dependent_param;
$45_1$;pc_StageTemperatureSum1;103.6;192.4;148;dev_stage;
$45_2$;pc_StageTemperatureSum2;198.8;369.2;284;dev_stage;
$48_2$;pc_VernalisationRequirement2;35;65;50;dev_stage;
$49_2$;pc_DaylengthRequirement2;14;26;20;dev_stage;
$52_2$;pc_StageKcFactor2;0.49;0.91;0.7;dev_stage;
$54_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002;dev_stage;
$56_3$;pc_OrganMaintenanceRespiration3;0.105;0.195;0.15;organ;
65;pc_MinimumAvailableN;0.00056;0.00104;0.0008;user_parameter;
67;pc_ReferenceAlbedo;0.161;0.299;0.23;user_parameter;
70;pc_MaxCropNDemand;4.2;7.8;6;user_parameter;
75;po_CN_Ratio_SMB;4.69;8.71;6.7;user_parameter;
85;po_AOM_SlowUtilizationEfficiency;0.28;0.52;0.4;user_parameter;
