No;Parametername;min;max;nominal;table;0.3
1;pc_MaxAssimilationRate;36.4;67.6;52;crop;
2;pc_MinimumTemperatureForAssimilation;2.8;5.2;4;crop;
5;pc_NConcentrationPN;1.12;2.08;1.6;crop;
10;pc_LuxuryNCoeff;0.91;1.69;1.3;crop;
35;pc_BeginSensitivePhaseHeatStress;434;806;620;crop;
36;pc_EndSensitivePhaseHeatStress;518;962;740;crop;
39;pc_LT50cultivar;-16.8;-31.2;-24;crop;
$44_1-2$;pc_AssimilatePartitioningDevStage1Organ2;0.35;0.65;0.5;crop2ods_dependent_param;
$45_1$;pc_StageTemperatureSum1;103.6;192.4;148;dev_stage;
$45_2$;pc_StageTemperatureSum2;198.8;369.2;284;dev_stage;
$45_5$;pc_StageTemperatureSum5;294;546;420;dev_stage;
$46_5$;pc_BaseTemperature5;6.3;11.7;9;dev_stage;
$48_2$;pc_VernalisationRequirement2;35;65;50;dev_stage;
$49_2$;pc_DaylengthRequirement2;14;26;20;dev_stage;
$52_2$;pc_StageKcFactor2;0.49;0.91;0.7;dev_stage;
$54_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002;dev_stage;
$56_3$;pc_OrganMaintenanceRespiration3;0.105;0.195;0.15;organ;
$62_1$;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08;user_parameter;
65;pc_MinimumAvailableN;0.00056;0.00104;0.0008;user_parameter;
67;pc_ReferenceAlbedo;0.161;0.299;0.23;user_parameter;
70;pc_MaxCropNDemand;4.2;7.8;6;user_parameter;
75;po_CN_Ratio_SMB;4.69;8.71;6.7;user_parameter;
78;po_SMB_SlowMaintRateStandard;0.0007;0.0013;0.001;user_parameter;
83;po_SOM_SlowUtilizationEfficiency;0.28;0.52;0.4;user_parameter;
85;po_AOM_SlowUtilizationEfficiency;0.28;0.52;0.4;user_parameter;
89;po_PartSMB_Slow_to_SOM_Fast;0.42;0.78;0.6;user_parameter;
91;po_PartSOM_to_SMB_Slow;0.0105;0.0195;0.015;user_parameter;
94;po_NitriteOxidationRateCoeffStandard;0.14;0.26;0.2;user_parameter;
$95_3$;po_Denit3;0.63;1.17;0.9;user_parameter;
